dll,export,dll-hash,export-hash
kernel32.dll,CreateFileMappingFromApp,0xd78acaf904a2cf36,0xe2e895aa6520db4
kernel32.dll,CreateFileMappingNumaA,0xd78acaf904a2cf36,0x6304be45bb17bc91
kernel32.dll,CreateFileMappingNumaW,0xd78acaf904a2cf36,0x6304be4628191692
kernel32.dll,CreateFileMappingW,0xd78acaf904a2cf36,0xc52bad9f910e5e75
kernel32.dll,CreateFileTransactedA,0xd78acaf904a2cf36,0xc18c0474ce8affbc
kernel32.dll,CreateFileTransactedW,0xd78acaf904a2cf36,0xc18c047374cc4c44
kernel32.dll,CreateFileW,0xd78acaf904a2cf36,0x5e90694781a9960f
kernel32.dll,CreateHardLinkA,0xd78acaf904a2cf36,0x1a38b639ca7c8d1c
kernel32.dll,CreateHardLinkTransactedA,0xd78acaf904a2cf36,0xf074d14cdec4eaef
kernel32.dll,CreateHardLinkTransactedW,0xd78acaf904a2cf36,0xf074d1270528b84e
kernel32.dll,CreateHardLinkW,0xd78acaf904a2cf36,0x1a38b637d91d2a65
kernel32.dll,CreateIoCompletionPort,0xd78acaf904a2cf36,0xbcda3296339beb12
kernel32.dll,CreateJobObjectA,0xd78acaf904a2cf36,0xbc68eb3b5c4e7072
kernel32.dll,CreateJobObjectW,0xd78acaf904a2cf36,0xbc68eb5f95cb62db
kernel32.dll,CreateJobSet,0xd78acaf904a2cf36,0xcbb68778341778aa
kernel32.dll,CreateMailslotA,0xd78acaf904a2cf36,0xc036ebb51259ba79
kernel32.dll,CreateMailslotW,0xd78acaf904a2cf36,0xc036ebe55330bb66
kernel32.dll,CreateMemoryResourceNotification,0xd78acaf904a2cf36,0x69ede706521178ae
kernel32.dll,CreateMutexA,0xd78acaf904a2cf36,0x468edd5918eacd06
kernel32.dll,CreateMutexExA,0xd78acaf904a2cf36,0x163635bf331efb5f
kernel32.dll,CreateMutexExW,0xd78acaf904a2cf36,0x163635becc9e2e5f
kernel32.dll,CreateMutexW,0xd78acaf904a2cf36,0x468edd55d33dc1b9
kernel32.dll,CreateNamedPipeA,0xd78acaf904a2cf36,0x7736d388ce333636
kernel32.dll,CreateNamedPipeW,0xd78acaf904a2cf36,0x7736d3876d417458
kernel32.dll,CreatePipe,0xd78acaf904a2cf36,0x6d16baacbc04c7df
kernel32.dll,CreatePrivateNamespaceA,0xd78acaf904a2cf36,0x39e3b6608da80c9
kernel32.dll,CreatePrivateNamespaceW,0xd78acaf904a2cf36,0x39e3b66b90a6126
kernel32.dll,CreateProcessA,0xd78acaf904a2cf36,0x1da9e3e24e48cdce
kernel32.dll,CreateProcessAsUserA,0xd78acaf904a2cf36,0x1f4f8a77674cbf99
kernel32.dll,CreateProcessAsUserW,0xd78acaf904a2cf36,0x1f4f8a7d9c21a92a
kernel32.dll,CreateProcessInternalA,0xd78acaf904a2cf36,0x591b2fb91f47616
kernel32.dll,CreateProcessInternalW,0xd78acaf904a2cf36,0x591b2f7b4543ae5
kernel32.dll,CreateProcessW,0xd78acaf904a2cf36,0x1da9e3ef8061b1cb
kernel32.dll,CreateRemoteThread,0xd78acaf904a2cf36,0xf24041fc3d41dc80
kernel32.dll,CreateRemoteThreadEx,0xd78acaf904a2cf36,0xa62b7939fd2bf783
kernel32.dll,CreateSemaphoreA,0xd78acaf904a2cf36,0x5d628494a9eab70e
kernel32.dll,CreateSemaphoreExA,0xd78acaf904a2cf36,0x859521504aaf8ccd
kernel32.dll,CreateSemaphoreExW,0xd78acaf904a2cf36,0x85952150bdba72e1
kernel32.dll,CreateSemaphoreW,0xd78acaf904a2cf36,0x5d62849360ee251a
kernel32.dll,CreateSymbolicLinkA,0xd78acaf904a2cf36,0x1ef014f5f8d647be
kernel32.dll,CreateSymbolicLinkTransactedA,0xd78acaf904a2cf36,0x4f3712129a4cbbd2
kernel32.dll,CreateSymbolicLinkTransactedW,0xd78acaf904a2cf36,0x4f3712174a2d1b80
kernel32.dll,CreateSymbolicLinkW,0xd78acaf904a2cf36,0x1ef014f47fb55582
kernel32.dll,CreateTapePartition,0xd78acaf904a2cf36,0x82058f460c701ed9
kernel32.dll,CreateThread,0xd78acaf904a2cf36,0x69108e8427de8185
kernel32.dll,CreateThreadpool,0xd78acaf904a2cf36,0xa29e68c17d25f5d9
kernel32.dll,CreateThreadpoolCleanupGroup,0xd78acaf904a2cf36,0xcfc5a62493a9addf
kernel32.dll,CreateThreadpoolIo,0xd78acaf904a2cf36,0xa3401d108296b194
kernel32.dll,CreateThreadpoolTimer,0xd78acaf904a2cf36,0xccb8df922aa01601
kernel32.dll,CreateThreadpoolWait,0xd78acaf904a2cf36,0x489224f53fe17b5d
kernel32.dll,CreateThreadpoolWork,0xd78acaf904a2cf36,0x489d9615dba8eec5
kernel32.dll,CreateTimerQueue,0xd78acaf904a2cf36,0x37b3744543467817
kernel32.dll,CreateTimerQueueTimer,0xd78acaf904a2cf36,0x76c28b818484362d
kernel32.dll,CreateToolhelp32Snapshot,0xd78acaf904a2cf36,0x22a5e521b191b506
kernel32.dll,CreateUmsCompletionList,0xd78acaf904a2cf36,0x65ed421e91907f24
kernel32.dll,CreateUmsThreadContext,0xd78acaf904a2cf36,0x77c9051c89b42eab
kernel32.dll,CreateWaitableTimerA,0xd78acaf904a2cf36,0xc35b7124a0af14fa
kernel32.dll,CreateWaitableTimerExA,0xd78acaf904a2cf36,0xd90e6fffe77f2587
kernel32.dll,CreateWaitableTimerExW,0xd78acaf904a2cf36,0xd90e6ff4b09737e4
kernel32.dll,CreateWaitableTimerW,0xd78acaf904a2cf36,0xc35b70ee01f9d86a
kernel32.dll,CtrlRoutine,0xd78acaf904a2cf36,0x95cdfad199a5bb32
kernel32.dll,DeactivateActCtx,0xd78acaf904a2cf36,0xaba39bf3773b7526
kernel32.dll,DeactivateActCtxWorker,0xd78acaf904a2cf36,0xaa03265a8071b7fb
kernel32.dll,DebugActiveProcess,0xd78acaf904a2cf36,0x865432d9b6ea651c
kernel32.dll,DebugActiveProcessStop,0xd78acaf904a2cf36,0xa8b955288ed38ba0
kernel32.dll,DebugBreak,0xd78acaf904a2cf36,0x53c6090f9c49be74
kernel32.dll,DebugBreakProcess,0xd78acaf904a2cf36,0x1a85c5b4e7ba7165
kernel32.dll,DebugSetProcessKillOnExit,0xd78acaf904a2cf36,0x28f13bc811aa493e
kernel32.dll,DecodePointer,0xd78acaf904a2cf36,0x79a06eb7c12632b4
kernel32.dll,DecodeSystemPointer,0xd78acaf904a2cf36,0x542b7cd28bb025eb
kernel32.dll,DefineDosDeviceA,0xd78acaf904a2cf36,0x1776365bc76d6002
kernel32.dll,DefineDosDeviceW,0xd78acaf904a2cf36,0x1776365a88cfe2cc
kernel32.dll,DelayLoadFailureHook,0xd78acaf904a2cf36,0xeb0ec006bbf413c0
kernel32.dll,DeleteAtom,0xd78acaf904a2cf36,0x5cea6f5145f58e78
kernel32.dll,DeleteBoundaryDescriptor,0xd78acaf904a2cf36,0xfcf4b845649dfba3
kernel32.dll,DeleteCriticalSection,0xd78acaf904a2cf36,0xb2b74fd0ee48a68f
